"","Name","G","Date","Age","Tm","X5","Opp","X7","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"126","Russell Westbrook","45",2017-01-23,"28-072","OKC","@","UTA","W (+2)","1","NA","11","29","0.379","3","7","0.429","13","17","0.765","1","10","11","10","4","1","6","3","38","28.7","4"
"127","Russell Westbrook","46",2017-01-25,"28-074","OKC","@","NOP","W (+9)","1","NA","7","22","0.318","4","9","0.444","9","12","0.75","1","11","12","10","1","1","8","3","27","16.7","-1"
"128","Russell Westbrook","47",2017-01-26,"28-075","OKC",NA,"DAL","W (+11)","1","NA","16","29","0.552","4","8","0.5","9","11","0.818","1","7","8","3","2","0","4","2","45","32.4","19"
"129","Russell Westbrook","48",2017-01-29,"28-078","OKC","@","CLE","L (-16)","1","NA","7","26","0.269","1","6","0.167","5","8","0.625","5","7","12","10","1","1","4","3","20","12.5","-19"
"130","Russell Westbrook","49",2017-01-31,"28-080","OKC","@","SAS","L (-14)","1","NA","7","17","0.412","3","7","0.429","10","10","1","1","5","6","14","1","0","6","4","27","23.3","8"
"131","Russell Westbrook","50",2017-02-01,"28-081","OKC",NA,"CHI","L (-28)","1","NA","10","23","0.435","2","7","0.286","6","8","0.75","1","4","5","8","2","1","3","1","28","21.9","-23"
"132","Russell Westbrook","51",2017-02-03,"28-083","OKC",NA,"MEM","W (+12)","1","NA","8","20","0.4","5","7","0.714","17","17","1","2","11","13","12","3","0","5","2","38","37.5","17"
"133","Russell Westbrook","52",2017-02-05,"28-085","OKC",NA,"POR","W (+6)","1","NA","16","34","0.471","1","6","0.167","9","11","0.818","1","3","4","8","0","0","4","3","42","25.8","7"
"134","Russell Westbrook","53",2017-02-06,"28-086","OKC","@","IND","L (-3)","1","NA","10","27","0.37","4","10","0.4","3","4","0.75","2","16","18","9","1","2","4","3","27","21.4","1"
"135","Russell Westbrook","54",2017-02-09,"28-089","OKC",NA,"CLE","W (+9)","1","NA","11","27","0.407","2","6","0.333","5","5","1","1","11","12","11","4","0","7","4","29","21.6","3"
"136","Russell Westbrook","55",2017-02-11,"28-091","OKC",NA,"GSW","L (-16)","1","NA","14","26","0.538","3","10","0.3","16","18","0.889","1","10","11","8","1","0","11","5","47","30.9","-13"
"137","Russell Westbrook","56",2017-02-13,"28-093","OKC","@","WAS","L (-22)","1","NA","5","19","0.263","0","4","0","7","7","1","2","2","4","4","2","0","2","0","17","10.5","-36"
"138","Russell Westbrook","57",2017-02-15,"28-095","OKC",NA,"NYK","W (+11)","1","NA","13","22","0.591","3","5","0.6","9","13","0.692","3","11","14","12","3","1","6","0","38","37.7","13"
"139","Russell Westbrook","58",2017-02-24,"28-104","OKC",NA,"LAL","W (+17)","1","NA","4","18","0.222","1","5","0.2","8","9","0.889","2","16","18","17","3","0","6","1","17","20.3","19"
