"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates"
"164",164,"San Antonio Spurs",82,"Wed Apr 12 2017","@","Utah Jazz","L",NA,97,101,61,21,"L 3",2017-04-12
"165",165,"Houston Rockets",1,"Wed Oct 26 2016","@","Los Angeles Lakers","L",NA,114,120,0,1,"L 1",2016-10-26
"166",166,"Houston Rockets",2,"Fri Oct 28 2016","@","Dallas Mavericks","W",NA,106,98,1,1,"W 1",2016-10-28
"167",167,"Houston Rockets",3,"Sun Oct 30 2016","vs","Dallas Mavericks","W",NA,93,92,2,1,"W 2",2016-10-30
"168",168,"Houston Rockets",4,"Tue Nov 1 2016","@","Cleveland Cavaliers","L",NA,120,128,2,2,"L 1",2016-11-01
"169",169,"Houston Rockets",5,"Wed Nov 2 2016","@","New York Knicks","W",NA,118,99,3,2,"W 1",2016-11-02
"170",170,"Houston Rockets",6,"Sat Nov 5 2016","@","Atlanta Hawks","L",NA,97,112,3,3,"L 1",2016-11-05
"171",171,"Houston Rockets",7,"Mon Nov 7 2016","@","Washington Wizards","W",NA,114,106,4,3,"W 1",2016-11-07
"172",172,"Houston Rockets",8,"Wed Nov 9 2016","@","San Antonio Spurs","W",NA,101,99,5,3,"W 2",2016-11-09
"173",173,"Houston Rockets",9,"Sat Nov 12 2016","vs","San Antonio Spurs","L",NA,100,106,5,4,"L 1",2016-11-12
"174",174,"Houston Rockets",10,"Mon Nov 14 2016","vs","Philadelphia 76ers","W",NA,115,88,6,4,"W 1",2016-11-14
"175",175,"Houston Rockets",11,"Wed Nov 16 2016","@","Oklahoma City Thunder","L",NA,103,105,6,5,"L 1",2016-11-16
"176",176,"Houston Rockets",12,"Thu Nov 17 2016","vs","Portland Trail Blazers","W",NA,126,109,7,5,"W 1",2016-11-17
"177",177,"Houston Rockets",13,"Sat Nov 19 2016","vs","Utah Jazz","W",NA,111,102,8,5,"W 2",2016-11-19
"178",178,"Houston Rockets",14,"Mon Nov 21 2016","@","Detroit Pistons","W",NA,99,96,9,5,"W 3",2016-11-21
"179",179,"Houston Rockets",15,"Wed Nov 23 2016","vs","Toronto Raptors","L",NA,102,115,9,6,"L 1",2016-11-23
"180",180,"Houston Rockets",16,"Fri Nov 25 2016","@","Sacramento Kings","W",NA,117,104,10,6,"W 1",2016-11-25
"181",181,"Houston Rockets",17,"Sun Nov 27 2016","@","Portland Trail Blazers","W",NA,130,114,11,6,"W 2",2016-11-27
"182",182,"Houston Rockets",18,"Tue Nov 29 2016","@","Utah Jazz","L",NA,101,120,11,7,"L 1",2016-11-29
"183",183,"Houston Rockets",19,"Thu Dec 1 2016","@","Golden State Warriors","W","2OT",132,127,12,7,"W 1",2016-12-01
"184",184,"Houston Rockets",20,"Fri Dec 2 2016","@","Denver Nuggets","W",NA,128,110,13,7,"W 2",2016-12-02
"185",185,"Houston Rockets",21,"Mon Dec 5 2016","vs","Boston Celtics","W",NA,107,106,14,7,"W 3",2016-12-05
"186",186,"Houston Rockets",22,"Wed Dec 7 2016","vs","Los Angeles Lakers","W",NA,134,95,15,7,"W 4",2016-12-07
"187",187,"Houston Rockets",23,"Fri Dec 9 2016","@","Oklahoma City Thunder","W",NA,102,99,16,7,"W 5",2016-12-09
"188",188,"Houston Rockets",24,"Sat Dec 10 2016","vs","Dallas Mavericks","W",NA,109,87,17,7,"W 6",2016-12-10
"189",189,"Houston Rockets",25,"Mon Dec 12 2016","vs","Brooklyn Nets","W",NA,122,118,18,7,"W 7",2016-12-12
"190",190,"Houston Rockets",26,"Wed Dec 14 2016","vs","Sacramento Kings","W",NA,132,98,19,7,"W 8",2016-12-14
"191",191,"Houston Rockets",27,"Fri Dec 16 2016","vs","New Orleans Pelicans","W",NA,122,100,20,7,"W 9",2016-12-16
"192",192,"Houston Rockets",28,"Sat Dec 17 2016","@","Minnesota Timberwolves","W","OT",111,109,21,7,"W 10",2016-12-17
"193",193,"Houston Rockets",29,"Tue Dec 20 2016","vs","San Antonio Spurs","L",NA,100,102,21,8,"L 1",2016-12-20
"194",194,"Houston Rockets",30,"Wed Dec 21 2016","@","Phoenix Suns","W",NA,125,111,22,8,"W 1",2016-12-21
"195",195,"Houston Rockets",31,"Fri Dec 23 2016","@","Memphis Grizzlies","L",NA,109,115,22,9,"L 1",2016-12-23
"196",196,"Houston Rockets",32,"Mon Dec 26 2016","vs","Phoenix Suns","W",NA,131,115,23,9,"W 1",2016-12-26
"197",197,"Houston Rockets",33,"Tue Dec 27 2016","@","Dallas Mavericks","W",NA,123,107,24,9,"W 2",2016-12-27
"198",198,"Houston Rockets",34,"Fri Dec 30 2016","vs","Los Angeles Clippers","W",NA,140,116,25,9,"W 3",2016-12-30
"199",199,"Houston Rockets",35,"Sat Dec 31 2016","vs","New York Knicks","W",NA,129,122,26,9,"W 4",2016-12-31
"200",200,"Houston Rockets",36,"Mon Jan 2 2017","vs","Washington Wizards","W",NA,101,91,27,9,"W 5",2017-01-02
"201",201,"Houston Rockets",37,"Thu Jan 5 2017","vs","Oklahoma City Thunder","W",NA,118,116,28,9,"W 6",2017-01-05
"202",202,"Houston Rockets",38,"Fri Jan 6 2017","@","Orlando Magic","W",NA,100,93,29,9,"W 7",2017-01-06
"203",203,"Houston Rockets",39,"Sun Jan 8 2017","@","Toronto Raptors","W",NA,129,122,30,9,"W 8",2017-01-08
