"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"154",154,"Cleveland Cavaliers",72,"Sat Mar 25 2017","vs","Washington Wizards","L",NA,115,127,47,25,"L 1",2017-03-25,0
"155",155,"Cleveland Cavaliers",73,"Mon Mar 27 2017","@","San Antonio Spurs","L",NA,74,103,47,26,"L 2",2017-03-27,0
"156",156,"Cleveland Cavaliers",74,"Thu Mar 30 2017","@","Chicago Bulls","L",NA,93,99,47,27,"L 3",2017-03-29,0
"157",157,"Cleveland Cavaliers",75,"Fri Mar 31 2017","vs","Philadelphia 76ers","W",NA,122,105,48,27,"W 1",2017-03-31,1
"158",158,"Cleveland Cavaliers",76,"Sun Apr 2 2017","vs","Indiana Pacers","W","2OT",135,130,49,27,"W 2",2017-04-02,1
"159",159,"Cleveland Cavaliers",77,"Tue Apr 4 2017","vs","Orlando Magic","W",NA,122,102,50,27,"W 3",2017-04-04,1
"160",160,"Cleveland Cavaliers",78,"Wed Apr 5 2017","@","Boston Celtics","W",NA,114,91,51,27,"W 4",2017-04-05,1
"161",161,"Cleveland Cavaliers",79,"Fri Apr 7 2017","vs","Atlanta Hawks","L",NA,100,114,51,28,"L 1",2017-04-07,0
"162",162,"Cleveland Cavaliers",80,"Sun Apr 9 2017","@","Atlanta Hawks","L","OT",125,126,51,29,"L 2",2017-04-08,0
"163",163,"Cleveland Cavaliers",81,"Mon Apr 10 2017","@","Miami Heat","L","OT",121,124,51,30,"L 3",2017-04-10,0
"164",164,"Cleveland Cavaliers",82,"Wed Apr 12 2017","vs","Toronto Raptors","L",NA,83,98,51,31,"L 4",2017-04-12,0
"165",165,"Toronto Raptors",1,"Wed Oct 26 2016","vs","Detroit Pistons","W",NA,109,91,1,0,"W 1",2016-10-26,1
"166",166,"Toronto Raptors",2,"Fri Oct 28 2016","vs","Cleveland Cavaliers","L",NA,91,94,1,1,"L 1",2016-10-28,0
"167",167,"Toronto Raptors",3,"Mon Oct 31 2016","vs","Denver Nuggets","W",NA,105,102,2,1,"W 1",2016-10-30,1
"168",168,"Toronto Raptors",4,"Wed Nov 2 2016","@","Washington Wizards","W",NA,113,103,3,1,"W 2",2016-11-01,1
"169",169,"Toronto Raptors",5,"Fri Nov 4 2016","vs","Miami Heat","W",NA,96,87,4,1,"W 3",2016-11-02,1
"170",170,"Toronto Raptors",6,"Sun Nov 6 2016","vs","Sacramento Kings","L",NA,91,96,4,2,"L 1",2016-11-05,0
"171",171,"Toronto Raptors",7,"Wed Nov 9 2016","@","Oklahoma City Thunder","W",NA,112,102,5,2,"W 1",2016-11-07,1
"172",172,"Toronto Raptors",8,"Fri Nov 11 2016","@","Charlotte Hornets","W",NA,113,111,6,2,"W 2",2016-11-09,1
