"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"142",280,"Utah Jazz",34,"Sat Dec 31 2016","vs","Phoenix Suns","W",NA,91,86,21,13,"W 3",2016-12-31,1
"143",286,"Utah Jazz",40,"Tue Jan 10 2017","vs","Cleveland Cavaliers","W",NA,100,92,24,16,"W 1",2017-01-10,1
"144",287,"Utah Jazz",41,"Fri Jan 13 2017","vs","Detroit Pistons","W",NA,110,77,25,16,"W 2",2017-01-13,1
"145",288,"Utah Jazz",42,"Sat Jan 14 2017","vs","Orlando Magic","W",NA,114,107,26,16,"W 3",2017-01-14,1
"146",291,"Utah Jazz",45,"Sat Jan 21 2017","vs","Indiana Pacers","W",NA,109,100,29,16,"W 6",2017-01-21,1
"147",292,"Utah Jazz",46,"Mon Jan 23 2017","vs","Oklahoma City Thunder","L",NA,95,97,29,17,"L 1",2017-01-23,0
"148",294,"Utah Jazz",48,"Thu Jan 26 2017","vs","Los Angeles Lakers","W",NA,96,88,30,18,"W 1",2017-01-26,1
"149",295,"Utah Jazz",49,"Sat Jan 28 2017","vs","Memphis Grizzlies","L",NA,95,102,30,19,"L 1",2017-01-28,0
"150",296,"Utah Jazz",50,"Wed Feb 1 2017","vs","Milwaukee Bucks","W",NA,104,88,31,19,"W 1",2017-02-01,1
"151",297,"Utah Jazz",51,"Sat Feb 4 2017","vs","Charlotte Hornets","W",NA,105,98,32,19,"W 2",2017-02-04,1
"152",301,"Utah Jazz",55,"Sat Feb 11 2017","vs","Boston Celtics","L",NA,104,112,34,21,"L 2",2017-02-11,0
"153",302,"Utah Jazz",56,"Mon Feb 13 2017","vs","Los Angeles Clippers","L",NA,72,88,34,22,"L 3",2017-02-13,0
"154",303,"Utah Jazz",57,"Wed Feb 15 2017","vs","Portland Trail Blazers","W",NA,111,88,35,22,"W 1",2017-02-15,1
"155",307,"Utah Jazz",61,"Wed Mar 1 2017","vs","Minnesota Timberwolves","L",NA,80,107,37,24,"L 2",2017-03-01,0
"156",308,"Utah Jazz",62,"Fri Mar 3 2017","vs","Brooklyn Nets","W",NA,112,97,38,24,"W 1",2017-03-03,1
"157",310,"Utah Jazz",64,"Mon Mar 6 2017","vs","New Orleans Pelicans","W",NA,88,83,40,24,"W 3",2017-03-06,1
"158",313,"Utah Jazz",67,"Mon Mar 13 2017","vs","Los Angeles Clippers","W",NA,114,108,42,25,"W 1",2017-03-13,1
"159",318,"Utah Jazz",72,"Wed Mar 22 2017","vs","New York Knicks","W",NA,108,101,44,28,"W 1",2017-03-22,1
"160",320,"Utah Jazz",74,"Mon Mar 27 2017","vs","New Orleans Pelicans","W",NA,108,100,45,29,"W 1",2017-03-27,1
"161",322,"Utah Jazz",76,"Fri Mar 31 2017","vs","Washington Wizards","W",NA,95,88,47,29,"W 3",2017-03-31,1
"162",324,"Utah Jazz",78,"Tue Apr 4 2017","vs","Portland Trail Blazers","W",NA,106,87,48,30,"W 1",2017-04-04,1
"163",325,"Utah Jazz",79,"Fri Apr 7 2017","vs","Minnesota Timberwolves","W",NA,120,113,49,30,"W 2",2017-04-07,1
"164",328,"Utah Jazz",82,"Wed Apr 12 2017","vs","San Antonio Spurs","W",NA,101,97,51,31,"W 2",2017-04-12,1
"165",330,"Los Angeles Clippers",2,"Sun Oct 30 2016","vs","Utah Jazz","W",NA,88,75,2,0,"W 2",2016-10-30,1
"166",331,"Los Angeles Clippers",3,"Mon Oct 31 2016","vs","Phoenix Suns","W",NA,116,98,3,0,"W 3",2016-10-31,1
"167",332,"Los Angeles Clippers",4,"Wed Nov 2 2016","vs","Oklahoma City Thunder","L",NA,83,85,3,1,"L 1",2016-11-02,0
"168",335,"Los Angeles Clippers",7,"Mon Nov 7 2016","vs","Detroit Pistons","W",NA,114,82,6,1,"W 3",2016-11-07,1
"169",336,"Los Angeles Clippers",8,"Wed Nov 9 2016","vs","Portland Trail Blazers","W",NA,111,80,7,1,"W 4",2016-11-09,1
"170",339,"Los Angeles Clippers",11,"Mon Nov 14 2016","vs","Brooklyn Nets","W",NA,127,95,10,1,"W 7",2016-11-14,1
"171",340,"Los Angeles Clippers",12,"Wed Nov 16 2016","vs","Memphis Grizzlies","L",NA,107,111,10,2,"L 1",2016-11-16,0
"172",342,"Los Angeles Clippers",14,"Sat Nov 19 2016","vs","Chicago Bulls","W",NA,102,95,12,2,"W 2",2016-11-19,1
"173",343,"Los Angeles Clippers",15,"Mon Nov 21 2016","vs","Toronto Raptors","W",NA,123,115,13,2,"W 3",2016-11-21,1
"174",350,"Los Angeles Clippers",22,"Sun Dec 4 2016","vs","Indiana Pacers","L",NA,102,111,16,6,"L 1",2016-12-04,0
"175",351,"Los Angeles Clippers",23,"Wed Dec 7 2016","vs","Golden State Warriors","L",NA,98,115,16,7,"L 2",2016-12-07,0
"176",352,"Los Angeles Clippers",24,"Sat Dec 10 2016","vs","New Orleans Pelicans","W",NA,133,105,17,7,"W 1",2016-12-10,1
"177",353,"Los Angeles Clippers",25,"Mon Dec 12 2016","vs","Portland Trail Blazers","W",NA,121,120,18,7,"W 2",2016-12-12,1
"178",357,"Los Angeles Clippers",29,"Tue Dec 20 2016","vs","Denver Nuggets","W",NA,119,102,21,8,"W 1",2016-12-20,1
"179",358,"Los Angeles Clippers",30,"Thu Dec 22 2016","vs","San Antonio Spurs","W",NA,106,101,22,8,"W 2",2016-12-22,1
"180",359,"Los Angeles Clippers",31,"Fri Dec 23 2016","vs","Dallas Mavericks","L",NA,88,90,22,9,"L 1",2016-12-23,0
"181",361,"Los Angeles Clippers",33,"Mon Dec 26 2016","vs","Denver Nuggets","L",NA,102,106,22,11,"L 3",2016-12-26,0
"182",365,"Los Angeles Clippers",37,"Mon Jan 2 2017","vs","Phoenix Suns","W",NA,109,98,23,14,"W 1",2017-01-02,1
"183",366,"Los Angeles Clippers",38,"Wed Jan 4 2017","vs","Memphis Grizzlies","W",NA,115,106,24,14,"W 2",2017-01-04,1
"184",368,"Los Angeles Clippers",40,"Sun Jan 8 2017","vs","Miami Heat","W",NA,98,86,26,14,"W 4",2017-01-08,1
"185",369,"Los Angeles Clippers",41,"Wed Jan 11 2017","vs","Orlando Magic","W",NA,105,96,27,14,"W 5",2017-01-11,1
"186",370,"Los Angeles Clippers",42,"Sat Jan 14 2017","vs","Los Angeles Lakers","W",NA,113,97,28,14,"W 6",2017-01-14,1
"187",371,"Los Angeles Clippers",43,"Mon Jan 16 2017","vs","Oklahoma City Thunder","W",NA,120,98,29,14,"W 7",2017-01-16,1
"188",372,"Los Angeles Clippers",44,"Thu Jan 19 2017","vs","Minnesota Timberwolves","L",NA,101,104,29,15,"L 1",2017-01-19,0
"189",378,"Los Angeles Clippers",50,"Thu Feb 2 2017","vs","Golden State Warriors","L",NA,120,133,31,19,"L 1",2017-02-02,0
"190",384,"Los Angeles Clippers",56,"Wed Feb 15 2017","vs","Atlanta Hawks","W",NA,99,84,35,21,"W 4",2017-02-15,1
"191",386,"Los Angeles Clippers",58,"Fri Feb 24 2017","vs","San Antonio Spurs","L",NA,97,105,35,23,"L 2",2017-02-24,0
"192",387,"Los Angeles Clippers",59,"Sun Feb 26 2017","vs","Charlotte Hornets","W","OT",124,121,36,23,"W 1",2017-02-26,1
"193",388,"Los Angeles Clippers",60,"Wed Mar 1 2017","vs","Houston Rockets","L",NA,103,122,36,24,"L 1",2017-03-01,0
"194",391,"Los Angeles Clippers",63,"Mon Mar 6 2017","vs","Boston Celtics","W",NA,116,102,38,25,"W 2",2017-03-06,1
"195",394,"Los Angeles Clippers",66,"Sat Mar 11 2017","vs","Philadelphia 76ers","W",NA,112,100,40,26,"W 2",2017-03-11,1
"196",396,"Los Angeles Clippers",68,"Wed Mar 15 2017","vs","Milwaukee Bucks","L",NA,96,97,40,28,"L 2",2017-03-15,0
