"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"195","Toronto Raptors",31,"Wed Dec 28 2016","@","Golden State Warriors","L",NA,111,121,22,9,"L 1",NA
"196","Toronto Raptors",32,"Thu Dec 29 2016","@","Phoenix Suns","L",NA,91,99,22,10,"L 2",NA
"197","Toronto Raptors",33,"Sun Jan 1 2017","@","Los Angeles Lakers","W",NA,123,114,23,10,"W 1",NA
"198","Toronto Raptors",34,"Tue Jan 3 2017","@","San Antonio Spurs","L",NA,82,110,23,11,"L 1",NA
"199","Toronto Raptors",35,"Thu Jan 5 2017",NA,"Utah Jazz","W",NA,101,93,24,11,"W 1",NA
"200","Toronto Raptors",36,"Sat Jan 7 2017","@","Chicago Bulls","L","OT",118,123,24,12,"L 1",NA
"201","Toronto Raptors",37,"Sun Jan 8 2017",NA,"Houston Rockets","L",NA,122,129,24,13,"L 2",NA
"202","Toronto Raptors",38,"Tue Jan 10 2017",NA,"Boston Celtics","W",NA,114,106,25,13,"W 1",NA
"203","Toronto Raptors",39,"Fri Jan 13 2017",NA,"Brooklyn Nets","W",NA,132,113,26,13,"W 2",NA
"204","Toronto Raptors",40,"Sun Jan 15 2017",NA,"New York Knicks","W",NA,116,101,27,13,"W 3",NA
"205","Toronto Raptors",41,"Tue Jan 17 2017","@","Brooklyn Nets","W",NA,119,109,28,13,"W 4",NA
"206","Toronto Raptors",42,"Wed Jan 18 2017","@","Philadelphia 76ers","L",NA,89,94,28,14,"L 1",NA
"207","Toronto Raptors",43,"Fri Jan 20 2017","@","Charlotte Hornets","L",NA,78,113,28,15,"L 2",NA
"208","Toronto Raptors",44,"Sun Jan 22 2017",NA,"Phoenix Suns","L",NA,103,115,28,16,"L 3",NA
"209","Toronto Raptors",45,"Tue Jan 24 2017",NA,"San Antonio Spurs","L",NA,106,108,28,17,"L 4",NA
"210","Toronto Raptors",46,"Wed Jan 25 2017","@","Memphis Grizzlies","L",NA,99,101,28,18,"L 5",NA
"211","Toronto Raptors",47,"Fri Jan 27 2017",NA,"Milwaukee Bucks","W",NA,102,86,29,18,"W 1",NA
"212","Toronto Raptors",48,"Sun Jan 29 2017",NA,"Orlando Magic","L",NA,113,114,29,19,"L 1",NA
"213","Toronto Raptors",49,"Tue Jan 31 2017",NA,"New Orleans Pelicans","W","OT",108,106,30,19,"W 1",NA
"214","Toronto Raptors",50,"Wed Feb 1 2017","@","Boston Celtics","L",NA,104,109,30,20,"L 1",NA
"215","Toronto Raptors",51,"Fri Feb 3 2017","@","Orlando Magic","L",NA,94,102,30,21,"L 2",NA
"216","Toronto Raptors",52,"Sun Feb 5 2017","@","Brooklyn Nets","W",NA,103,95,31,21,"W 1",NA
"217","Toronto Raptors",53,"Mon Feb 6 2017",NA,"Los Angeles Clippers","W",NA,118,109,32,21,"W 2",NA
"218","Toronto Raptors",54,"Wed Feb 8 2017","@","Minnesota Timberwolves","L",NA,109,112,32,22,"L 1",NA
"219","Toronto Raptors",55,"Sun Feb 12 2017",NA,"Detroit Pistons","L",NA,101,102,32,23,"L 2",NA
"220","Toronto Raptors",56,"Tue Feb 14 2017","@","Chicago Bulls","L",NA,94,105,32,24,"L 3",NA
"221","Toronto Raptors",57,"Wed Feb 15 2017",NA,"Charlotte Hornets","W",NA,90,85,33,24,"W 1",NA
"222","Toronto Raptors",58,"Fri Feb 24 2017",NA,"Boston Celtics","W",NA,107,97,34,24,"W 2",NA
"223","Toronto Raptors",59,"Sun Feb 26 2017",NA,"Portland Trail Blazers","W",NA,112,106,35,24,"W 3",NA
"224","Toronto Raptors",60,"Mon Feb 27 2017","@","New York Knicks","W",NA,92,91,36,24,"W 4",NA
